date,DateTime,Event,Period,SurvM,Actual,Prior,Revised,BB_relevance_index,Ticker,SurvA,SurvH,SurvL,Freq,Ests,Time,StdDev,Surprise,DateTime1,DateTime2,DateTime3
31oct1996,10/31/96 08:30,Personal Income,Sep,.006,.006,.006,,85.82680000000001,PITLCHNG Index,.006,,,M,0,8:30,,,10/31/96,08:30,
31oct1996,10/31/96 08:30,US Personal Outlays SA,Sep,.003,.001,.006,,0,PIDSSO Index,.003,,,M,0,8:30,,,10/31/96,08:30,
01nov1996,11/01/96 10:00,ISM Manufacturing,Oct,50.9,50.2,51.7,,95.2756,NAPMPMI Index,50.9,,,M,0,10:00,,,11/01/96,10:00,
01nov1996,11/01/96 10:00,Factory Orders,Sep,.027,.027,-.019,,85.0394,TMNOCHNG Index,.027,,,M,0,10:00,,,11/01/96,10:00,
04nov1996,11/04/96 10:00,Construction Spending,Sep,-0.10$,-1.1$,0.9$,,0,VNCCTOT Index,-0.10$,,,M,0,10:00,,,11/04/96,10:00,
07nov1996,11/07/96 15:00,Consumer Credit,Sep,$4.90b,-$2.600b,$3.300b,,39.3701,CICRTOT Index,$4.90b,,,M,0,3:00,,,11/07/96,15:00,
08nov1996,11/08/96 10:00,Wholesale Inventories MoM,Sep,,-.013,.005,,81.1024,MWINCHNG Index,,,,M,0,10:00,,,11/08/96,10:00,
14nov1996,11/14/96 08:30,Advance Retail Sales,Oct,.004,.002,.007,,0,RTSDCHNG Index,.004,,,M,0,8:30,,,11/14/96,08:30,
15nov1996,11/15/96 09:15,Industrial Production MoM,Oct,-.001,-.005,.002,,89.7638,IP CHNG Index,-.001,,,M,0,9:15,,,11/15/96,09:15,
15nov1996,11/15/96 10:00,Housing Starts,Sep,.001,.001,.005,,0,MTIB Index,.001,,,M,0,10:00,,,11/15/96,10:00,
21nov1996,11/21/96 10:00,Philadelphia Fed Business Outlook,Nov,,6.4,5.3,,78.7402,OUTFGAF Index,,,,M,0,10:00,,,11/21/96,10:00,
22nov1996,11/22/96 14:00,Monthly Budget Statement,Oct,-$33.40b,$40.3b,$35.4b,,75.59059999999999,FDDSSD Index,-$33.40b,,,M,0,2:00,,,11/22/96,14:00,
25nov1996,11/25/96 10:00,One-Family Home Resales,Oct,-0.30m,-1.50m,-2.90m,,0,EHSLSL Index,-0.30m,,,M,0,10:00,,,11/25/96,10:00,
27nov1996,11/27/96 08:30,GDP Annualized QoQ,3Q P,,,,,96.85039999999999,GDP CQOQ Index,,,,Q,0,8:30,,,11/27/96,08:30,
27nov1996,11/27/96 10:00,MNI Chicago PMI,Nov,55.2,57.6,56.9,,81.88979999999999,CHPMINDX Index,55.2,,,M,0,10:00,,,11/27/96,10:00,
29nov1996,11/29/96 08:30,US Personal Outlays SA,Oct,.004,.005,.001,,0,PIDSSO Index,.004,,,M,0,8:30,,,11/29/96,08:30,
29nov1996,11/29/96 08:30,Personal Income,Oct,0,0,.006,.006,85.82680000000001,PITLCHNG Index,0,,,M,0,8:30,,,11/29/96,08:30,
02dec1996,12/02/96 10:00,Construction Spending,Oct,-0.80$,1.8$,1.9$,,0,VNCCTOT Index,-0.80$,,,M,0,10:00,,,12/02/96,10:00,
02dec1996,12/02/96 10:00,ISM Manufacturing,Nov,50.9,52.7,50.2,50.5,95.2756,NAPMPMI Index,50.9,,,M,0,10:00,,,12/02/96,10:00,
03dec1996,12/03/96 08:30,Leading Indicators,Oct,0,.005,.001,,0,LEI TOTL Index,0,,,M,0,8:30,,,12/03/96,08:30,
04dec1996,12/04/96 10:00,Housing Completions,Oct,,-1k,-6k,,0,PHUCCHNG Index,,,,M,0,10:00,,,12/04/96,10:00,
05dec1996,12/05/96 10:00,Productivity & Cost,3Q R,,-.003,.002,,0,PRODNFN% Index,,,,Q,0,10:00,,,12/05/96,10:00,
06dec1996,12/06/96 15:00,Consumer Credit,Oct,$4.50b,$2.200b,-$2.600b,$4.769b,39.3701,CICRTOT Index,$4.50b,,,M,0,3:00,,,12/06/96,15:00,
06dec1996,12/06/96 10:00,Factory Orders,Oct,-.001,.009,.027,.03,85.0394,TMNOCHNG Index,-.001,,,M,0,10:00,,,12/06/96,10:00,
10dec1996,12/10/96 10:00,Wholesale Inventories MoM,Oct,,.006,-.013,-.007,81.1024,MWINCHNG Index,,,,M,0,10:00,,,12/10/96,10:00,
11dec1996,12/11/96 08:30,PPI Ex Food and Energy MoM,Nov,.002,.001,-.003,,0,PXFECHNG Index,.002,,,M,0,8:30,,,12/11/96,08:30,
12dec1996,12/12/96 08:30,CPI MoM,Nov,.003,.003,.003,,96.063,CPI CHNG Index,.003,,,M,0,8:30,,,12/12/96,08:30,
12dec1996,12/12/96 08:30,Advance Retail Sales,Nov,.003,-.004,.002,.008,0,RTSDCHNG Index,.003,,,M,0,8:30,,,12/12/96,08:30,
16dec1996,12/16/96 09:15,Industrial Production MoM,Nov,.005,.009,-.005,.019,89.7638,IP CHNG Index,.005,,,M,0,9:15,,,12/16/96,09:15,
17dec1996,12/17/96 08:30,Housing Starts MoM,Nov,.001,.092,-.051,,27.5591,NHCHSTCH Index,.001,,,M,0,8:30,,,12/17/96,08:30,
19dec1996,12/19/96 08:30,Trade Balance,Oct,-$10.40b,-$8.0b,$0.1b,,84.252,USTBTOT Index,-$10.40b,,,M,0,8:30,,,12/19/96,08:30,
19dec1996,12/19/96 10:00,Philadelphia Fed Business Outlook,Dec,7.5,-2.2,6.4,11.1,78.7402,OUTFGAF Index,7.5,,,M,0,10:00,,,12/19/96,10:00,
20dec1996,12/20/96 14:00,Monthly Budget Statement,Nov,-$35.70b,-$37.9b,$40.3b,-$39.8b,75.59059999999999,FDDSSD Index,-$35.70b,,,M,0,2:00,,,12/20/96,14:00,
23dec1996,12/23/96 08:30,US Personal Outlays SA,Nov,.003,.005,.005,,0,PIDSSO Index,.003,,,M,0,8:30,,,12/23/96,08:30,
23dec1996,12/23/96 08:30,Personal Income,Nov,.006,.005,0,.003,85.82680000000001,PITLCHNG Index,.006,,,M,0,8:30,,,12/23/96,08:30,
30dec1996,12/30/96 10:00,One-Family Home Resales,Nov,-0.10m,1.80m,-1.50m,,0,EHSLSL Index,-0.10m,,,M,0,10:00,,,12/30/96,10:00,
30dec1996,12/30/96 08:30,Leading Index,Nov,.002,.001,.001,,83.4646,LEI CHNG Index,.002,,,M,0,8:30,,,12/30/96,08:30,
31dec1996,12/31/96 10:00,MNI Chicago PMI,Dec,,57.4,57.6,58,81.88979999999999,CHPMINDX Index,,,,M,0,10:00,,,12/31/96,10:00,
02jan1997,01/02/97 10:00,ISM Manufacturing,Dec,,55.2,53,,95.2756,NAPMPMI Index,,,,M,0,10:00,,,01/02/97,10:00,
03jan1997,01/03/97 10:00,Construction Spending,Nov,-0.40$,1.9$,1.8$,,0,VNCCTOT Index,-0.40$,,,M,0,10:00,,,01/03/97,10:00,
06jan1997,01/06/97 10:00,Housing Completions,Dec,,2k,-1k,,0,PHUCCHNG Index,,,,M,0,10:00,,,01/06/97,10:00,
07jan1997,01/07/97 10:00,Factory Orders,Nov,-.007,-.004,.009,-.001,85.0394,TMNOCHNG Index,-.007,,,M,0,10:00,,,01/07/97,10:00,
08jan1997,01/08/97 15:00,Consumer Credit,Dec,$3.60b,$7.400b,$2.200b,$6.064b,39.3701,CICRTOT Index,$3.60b,,,M,0,3:00,,,01/08/97,15:00,
09jan1997,01/09/97 08:30,PPI Ex Food and Energy MoM,Dec,.002,.001,.001,-.001,0,PXFECHNG Index,.002,,,M,0,8:30,,,01/09/97,08:30,
09jan1997,01/09/97 10:00,Wholesale Inventories MoM,Nov,.002,.001,-.013,.003,81.1024,MWINCHNG Index,.002,,,M,0,10:00,,,01/09/97,10:00,
10jan1997,01/10/97 08:30,Unemployment Rate,Dec,.053,.053,.054,,89.29130000000001,USURTOT Index,.0532,.054,.052,M,10,8:30,.07,0,01/10/97,08:30,
10jan1997,01/10/97 08:30,Change in Nonfarm Payrolls,Dec,201.00k,262k,118k,,99.21259999999999,NFP TCH Index,201.00k,,,M,0,8:30,,,01/10/97,08:30,
14jan1997,01/14/97 08:30,Advance Retail Sales,Dec,.004,.006,-.004,0,0,RTSDCHNG Index,.004,,,M,0,8:30,,,01/14/97,08:30,
