Date,Last Price
3/31/1997,6.903
4/1/1997,6.873
4/2/1997,6.86
4/3/1997,6.853
4/4/1997,6.906
4/7/1997,6.856
4/8/1997,6.89
4/9/1997,6.895
4/10/1997,6.906
4/11/1997,6.968
4/14/1997,6.975
4/15/1997,6.873
4/16/1997,6.886
4/17/1997,6.846
4/18/1997,6.825
4/21/1997,6.866
4/22/1997,6.83
4/23/1997,6.878
4/24/1997,6.931
4/25/1997,6.938
4/28/1997,6.908
4/29/1997,6.758
4/30/1997,6.718
5/1/1997,6.678
5/2/1997,6.644
5/5/1997,6.649
5/6/1997,6.66
5/7/1997,6.752
5/8/1997,6.73
5/9/1997,6.669
5/12/1997,6.66
5/13/1997,6.717
5/14/1997,6.666
5/15/1997,6.66
5/16/1997,6.719
5/19/1997,6.71
5/20/1997,6.677
5/21/1997,6.725
5/22/1997,6.749
5/23/1997,6.74
5/27/1997,6.791
5/28/1997,6.793
5/29/1997,6.738
5/30/1997,6.659
6/2/1997,6.655
6/3/1997,6.616
6/4/1997,6.625
6/5/1997,6.612
6/6/1997,6.486
6/9/1997,6.542
6/10/1997,6.568
6/11/1997,6.579
6/12/1997,6.486
6/13/1997,6.426
6/16/1997,6.398
6/17/1997,6.43
6/18/1997,6.392
6/19/1997,6.392
6/20/1997,6.374
6/23/1997,6.421
6/24/1997,6.406
6/25/1997,6.445
6/26/1997,6.49
6/27/1997,6.451
6/30/1997,6.5
7/1/1997,6.44
7/2/1997,6.406
7/3/1997,6.305
7/7/1997,6.258
7/8/1997,6.265
7/9/1997,6.252
7/10/1997,6.254
7/11/1997,6.22
7/14/1997,6.254
7/15/1997,6.251
7/16/1997,6.186
7/17/1997,6.196
7/18/1997,6.243
7/21/1997,6.257
7/22/1997,6.124
7/23/1997,6.152
7/24/1997,6.156
7/25/1997,6.179
7/28/1997,6.13
7/29/1997,6.105
7/30/1997,6.042
7/31/1997,6.011
8/1/1997,6.18
8/4/1997,6.218
8/5/1997,6.231
8/6/1997,6.214
8/7/1997,6.244
8/8/1997,6.367
8/11/1997,6.362
8/12/1997,6.401
8/13/1997,6.343
8/14/1997,6.255
8/15/1997,6.236
8/18/1997,6.21
8/19/1997,6.21
8/20/1997,6.242
8/21/1997,6.328
8/22/1997,6.358
8/25/1997,6.386
8/26/1997,6.367
8/27/1997,6.373
8/28/1997,6.293
8/29/1997,6.339
9/2/1997,6.28
9/3/1997,6.326
9/4/1997,6.33
9/5/1997,6.35
9/8/1997,6.326
9/9/1997,6.332
9/10/1997,6.365
9/11/1997,6.391
9/12/1997,6.283
9/15/1997,6.276
9/16/1997,6.103
9/17/1997,6.101
9/18/1997,6.114
9/19/1997,6.092
9/22/1997,6.058
9/23/1997,6.094
9/24/1997,6.037
9/25/1997,6.126
9/26/1997,6.081
9/29/1997,6.096
9/30/1997,6.103
10/1/1997,6.035
10/2/1997,5.997
10/3/1997,5.988
10/6/1997,5.956
10/7/1997,5.923
10/8/1997,6.088
10/9/1997,6.073
10/10/1997,6.143
10/14/1997,6.064
10/15/1997,6.104
10/16/1997,6.092
10/17/1997,6.158
10/20/1997,6.141
10/21/1997,6.126
10/22/1997,6.126
10/23/1997,6.011
10/24/1997,5.981
10/27/1997,5.8
10/28/1997,5.985
10/29/1997,5.88
10/30/1997,5.813
10/31/1997,5.831
11/3/1997,5.905
11/4/1997,5.951
11/5/1997,5.909
11/6/1997,5.879
11/7/1997,5.902
11/10/1997,5.898
11/12/1997,5.852
11/13/1997,5.849
11/14/1997,5.879
11/17/1997,5.832
11/18/1997,5.841
11/19/1997,5.82
11/20/1997,5.847
11/21/1997,5.811
11/24/1997,5.836
11/25/1997,5.847
11/26/1997,5.853
11/28/1997,5.874
12/1/1997,5.853
12/2/1997,5.853
12/3/1997,5.819
12/4/1997,5.846
12/5/1997,5.914
12/8/1997,5.956
12/9/1997,5.924
12/10/1997,5.878
12/11/1997,5.793
12/12/1997,5.728
12/15/1997,5.778
12/16/1997,5.774
12/17/1997,5.808
12/18/1997,5.749
12/19/1997,5.736
12/22/1997,5.711
12/23/1997,5.7
12/24/1997,5.744
12/26/1997,5.738
12/29/1997,5.759
12/30/1997,5.792
12/31/1997,5.742
1/2/1998,5.647
1/5/1998,5.506
1/6/1998,5.467
1/7/1998,5.529
1/8/1998,5.471
1/9/1998,5.413
1/12/1998,5.364
1/13/1998,5.435
1/14/1998,5.452
1/15/1998,5.458
1/16/1998,5.532
1/20/1998,5.577
1/21/1998,5.538
1/22/1998,5.567
1/23/1998,5.687
1/26/1998,5.625
1/27/1998,5.687
1/28/1998,5.691
1/29/1998,5.566
1/30/1998,5.505
2/2/1998,5.574
2/3/1998,5.555
2/4/1998,5.551
2/5/1998,5.634
2/6/1998,5.617
2/9/1998,5.644
2/10/1998,5.628
2/11/1998,5.571
2/12/1998,5.514
2/13/1998,5.484
2/17/1998,5.438
2/18/1998,5.486
2/19/1998,5.51
2/20/1998,5.543
2/23/1998,5.578
2/24/1998,5.664
2/25/1998,5.614
2/26/1998,5.655
2/27/1998,5.622
3/2/1998,5.697
3/3/1998,5.775
3/4/1998,5.72
3/5/1998,5.775
3/6/1998,5.714
3/9/1998,5.655
3/10/1998,5.653
3/11/1998,5.63
3/12/1998,5.559
3/13/1998,5.58
3/16/1998,5.539
3/17/1998,5.557
3/18/1998,5.572
3/19/1998,5.576
3/20/1998,5.564
3/23/1998,5.57
3/24/1998,5.57
3/25/1998,5.641
3/26/1998,5.689
3/27/1998,5.683
3/30/1998,5.706
3/31/1998,5.654
4/1/1998,5.587
4/2/1998,5.543
4/3/1998,5.48
4/6/1998,5.507
4/7/1998,5.53
4/8/1998,5.574
4/9/1998,5.58
4/13/1998,5.648
4/14/1998,5.61
4/15/1998,5.593
4/16/1998,5.58
4/17/1998,5.587
4/20/1998,5.641
4/21/1998,5.671
4/22/1998,5.671
4/23/1998,5.696
4/24/1998,5.66
4/27/1998,5.784
4/28/1998,5.803
4/29/1998,5.812
4/30/1998,5.671
5/1/1998,5.656
5/4/1998,5.659
5/5/1998,5.712
5/6/1998,5.648
5/7/1998,5.678
5/8/1998,5.706
5/11/1998,5.767
5/12/1998,5.71
5/13/1998,5.667
5/14/1998,5.683
5/15/1998,5.683
5/18/1998,5.644
5/19/1998,5.652
5/20/1998,5.61
5/21/1998,5.65
5/22/1998,5.635
5/26/1998,5.569
5/27/1998,5.577
5/28/1998,5.569
5/29/1998,5.552
