Date,USSV0C2Curncy,USSV0F2Curncy,USSV022Curncy,USSV0C5Curncy,USSV0F5Curncy,USSV012Curncy,USSV015Curncy,USSV025Curncy,USSV0C10Curncy,USSV0F10Curncy,USSV0110Curncy,USSV0210Curncy
1/23/1997,18.2,18.4,18.3,17.3,17.5,18.7,17.5,16.9,16,15.7,15.5,15.2
1/24/1997,18,18.2,18,17,17.2,18.5,17.2,16.8,16,15.7,15.5,15.1
1/27/1997,18,18.2,18,17,17.2,18.5,17.2,16.8,16,15.7,15.5,15.1
1/28/1997,18,18.2,18,17,17.2,18.5,17.2,16.8,16,15.7,15.5,15.1
1/29/1997,18,18.2,18,17,17.2,18.5,17.2,16.8,16,15.7,15.5,15.1
1/30/1997,18,18.2,17.8,17,17.2,18.2,17,16.5,16,15.7,15.2,14.8
1/31/1997,18,18.2,17.8,17,17.2,18.2,17,16.5,16,15.7,15.2,14.8
2/3/1997,18,18.3,17.8,17,17.2,18.2,17,16.4,16.2,15.9,15.2,14.6
2/4/1997,18,18.3,17.8,17,17.1,18.3,17,16.4,16.2,16,15.2,14.6
2/5/1997,18,18.3,17.8,17,17.1,18.3,17,16.4,16.2,16,15.2,14.6
2/6/1997,18.4,18.7,17.8,17.2,17.3,18.3,17.1,16.6,16.5,16.5,15.5,14.9
2/7/1997,18.4,18.7,17.8,17.2,17.3,18.3,17.1,16.6,16.5,16.5,15.5,14.9
2/10/1997,16.7,17.5,17.5,16.7,16.7,18,16.8,16.4,15.3,15.3,15.2,14.8
2/11/1997,16.5,17.2,17,16.5,16.5,17.2,16.5,16.2,15.1,15.1,15.2,14.6
2/12/1997,16.5,17,17.3,16.5,16.5,17.2,16.5,16.2,15.2,15.2,15.2,14.6
2/13/1997,16.5,17,17.3,16.5,16.5,17,16.5,16.1,15.2,15.2,15.2,14.6
2/14/1997,16.5,17,17.3,16.5,16.5,17,16.5,16.1,15.2,15.2,15.2,14.6
2/17/1997,16.5,17,17.3,16.5,16.5,17,16.5,16.1,15.2,15.2,15.2,14.6
2/18/1997,16.5,17,17.3,16.5,16.5,17,16.5,16.1,15.2,15.2,15.2,14.6
2/19/1997,16.5,17,17.5,16.5,16.5,17.2,16.5,16.1,15.6,15.4,15.4,14.8
2/20/1997,16.5,17,17.5,16.5,16.5,17.2,16.5,16.1,15.6,15.4,15.4,14.8
2/21/1997,16.5,17,17.7,16.5,16.6,17.5,16.8,16.3,15.6,15.6,15.4,14.8
2/24/1997,16.7,17.2,17.7,16.7,16.8,18,16.8,16.3,15.8,15.8,15.4,14.8
2/25/1997,16.7,17,17.4,16.6,16.8,17.6,16.9,16.7,15.8,15.6,15.4,15
2/26/1997,16.7,17,17.4,16.6,16.8,17.6,17,16.7,15.8,15.6,15.4,15
2/27/1997,16.7,17,17.5,16.7,16.8,17.7,17.1,16.7,15.8,15.6,15.4,15
2/28/1997,17,17.5,17.5,16.7,16.8,17.7,17,16.7,15.8,15.6,15.4,15
3/3/1997,17.2,17.7,17.5,16.8,16.8,17.7,17,16.7,15.8,15.6,15.4,15
3/4/1997,17.2,17.7,17.7,16.8,16.9,17.8,17,16.7,15.8,15.6,15.5,15
3/5/1997,17.2,17.7,17.7,16.8,16.9,17.8,17,16.7,15.8,15.6,15.5,15
3/6/1997,17.2,17.7,17.7,16.8,16.9,17.8,17,16.7,15.8,15.6,15.5,15
3/7/1997,16.5,17,17.1,16.2,16.3,17.3,16.7,16.4,15.4,15.4,15.2,14.8
3/10/1997,16.7,17,17.1,16.3,16.5,17.4,16.7,16.4,15.4,15.6,15.2,14.8
3/11/1997,16.5,17,17.1,16.3,16.5,17.4,16.7,16.4,15.4,15.6,15.2,14.8
3/12/1997,16.5,17,17.1,16.3,16.5,17.3,16.7,16.3,15.4,15.6,15.1,14.7
3/13/1997,16.5,17,17.1,16.3,16.5,17.3,16.7,16.3,15.4,15.6,15.1,14.7
3/14/1997,16.5,17,17.1,16.3,16.5,17.3,16.5,16.1,15.3,15.3,15.1,14.5
3/17/1997,16.3,17,16.9,16.1,16.4,17.1,16.3,16,15.2,15.2,14.9,14.3
3/18/1997,16.3,17,16.9,16.1,16.4,17.1,16.3,16,15.2,15.2,14.9,14.3
3/19/1997,16.3,16.7,16.8,16.1,16.2,17,16.2,15.7,15.2,15.2,14.8,14.3
3/20/1997,16.3,16.7,16.8,16.1,16.2,17,16.2,15.7,15.2,15.2,14.8,14.3
3/21/1997,16.3,16.7,16.8,16.1,16.2,17,16.2,15.7,15.2,15.2,14.7,14.2
3/24/1997,16.3,16.7,16.8,16.1,16.2,17,16.2,15.7,15.2,15.2,14.7,14.2
3/25/1997,16.3,16.7,16.8,16.1,16.2,17,16.2,15.7,15.2,15.2,14.7,14.2
3/26/1997,15.8,16,16.2,15.6,15.8,16.4,15.7,15.5,14.5,14.5,14.4,14.1
3/27/1997,15.8,16,16.2,15.6,15.8,16.4,15.7,15.5,14.5,14.5,14.4,14.1
3/28/1997,15.8,16,16.2,15.6,15.8,16.4,15.7,15.5,14.5,14.5,14.4,14.1
