Date,USSN0110 Curncy,USSN0C10 Curncy,USSN0210 Curncy,USSN0F10 Curncy,USSN0C2 Curncy,USSN0F2 Curncy,USSN012 Curncy,USSN022 Curncy,USSN0C5 Curncy,USSN0F5 Curncy,USSN015 Curncy,USSN025 Curncy
5/11/2005,93.15,88.75,92.25,90.85,,91.7,97.7,100.2,97.1,95.75,98.65,96.95
5/12/2005,,,,,,93.3,,,,95.35,98.05,96.25
5/24/2005,91.4,86.05,91.85,88.95,,92.05,95.35,98.85,95.85,97.1,98.1,98
5/25/2005,90.85,83.6,91.15,87.55,90.25,91.8,95.5,98.9,93.55,93.55,97.55,96.7
5/26/2005,90.25,,90.75,87.15,,91.1,94.45,98.55,91.65,91.95,96.15,96.05
5/27/2005,89.5,82.15,90.15,86.45,,88.3,93.65,98.35,,,,
5/31/2005,90.5,83.3,90.95,87.5,86.75,88.8,96.15,99.55,91.55,92.55,97.1,96.7
6/1/2005,,85.55,90.65,88.75,,,,99.25,,,,96.85
6/2/2005,91.35,,91.3,89.3,89.75,91.9,,,,,,97.85
6/6/2005,91.1,,91.35,88.85,,,,,,,,
6/8/2005,91.55,88.85,92.8,91.05,,91.6,96.05,100.4,94.15,94.8,97,97.95
6/10/2005,92.75,88.75,94.4,90.35,,91.85,96.45,101.3,,95.6,98.2,101.15
6/13/2005,93.55,89.25,95.45,91.05,,92.35,97.2,101.8,94.85,95.9,98.3,101.4
6/14/2005,93.1,,95.05,90.75,88.65,91.8,97,101.75,,95.5,97.75,100.7
6/15/2005,92.65,86.95,94.55,89.7,,91.6,96.7,101.4,93.8,94.6,96.9,100.1
6/16/2005,91.6,86.8,92.65,88.95,84.95,88.4,93.75,99.25,92.4,94.2,97,98.95
6/17/2005,90.6,83.8,92.25,87.3,81.25,86.5,92.75,98.85,89.4,92.5,96,98.55
6/21/2005,90.8,,91.95,87.75,,,,98.05,,,,98.55
6/22/2005,91.9,85,93.1,88.85,82.8,86.7,92.3,98.5,90.65,93.25,96.5,100.15
6/24/2005,92.2,85.4,94.25,89.15,,87.25,93.1,99.85,91.75,94.25,97.45,100.8
6/27/2005,92.15,,94,89.1,84.15,87.75,93.2,99.8,,,,100.35
6/28/2005,92.95,87.15,93.7,90,,88.05,93.7,99.2,,,,100.1
6/29/2005,92.6,,94.1,89.75,,,,99.2,,,,
7/1/2005,91.85,86.2,93.05,89.6,83.3,85.55,92.4,98.5,89.95,92.95,96.45,98.95
7/5/2005,93.65,90.5,93.9,92.3,85.1,86.3,93,99.45,94.4,95.5,98.65,99.75
7/6/2005,93.7,89.7,94.05,91.9,,,,99.15,95,96.55,98.75,99.85
7/7/2005,95,95.4,94.85,93.3,91.65,88.1,94.1,99.75,101.45,98.2,99.55,99.65
7/8/2005,94.1,89.2,93.95,91.4,83.35,87.3,92.15,98.05,94.6,95.45,98.2,98.9
7/11/2005,93.85,91.45,94.3,91.65,84.75,87.75,92.25,98.35,95.15,96.4,98.75,99.75
7/12/2005,93.3,89.6,92.95,91.35,84.2,87.2,91.7,98.45,95.15,96.15,98.35,98.4
7/13/2005,93.5,,93.4,91.7,83,86.6,91.35,98.15,92.9,94.5,98.05,98.5
7/14/2005,91.95,87.45,92.5,90.9,,85.15,89.7,96.8,90.7,92.1,97.05,97.6
7/15/2005,91.8,86.4,92.55,90.45,79.5,83.95,89.7,96.8,90.7,92.1,97.05,97.6
7/18/2005,92.15,88.4,92.7,90.25,79.5,84.15,89.65,97.3,90.7,92.1,96.2,97.15
7/19/2005,92.25,88.85,92.35,90.55,,84.25,89.75,97.35,,92.35,96.6,97.35
7/20/2005,92,88.1,92.1,90.1,,84.25,89.75,97.35,,91.85,95.85,97.15
7/21/2005,91.65,88.8,92.2,89.4,79.4,,,96.6,91.45,93,,96.3
7/22/2005,92.15,,92.7,90.15,,80.6,,96.15,,95.25,95.5,97.65
7/25/2005,92.5,89.85,93.15,90.95,76.95,79.15,89.05,96.3,92.95,94.1,95.8,97.75
7/26/2005,92.8,88.95,93.15,90.55,,,89.55,96.4,92.4,93.2,95.85,97.3
7/27/2005,92.45,88.1,92.55,90.05,75.75,78.15,88.6,95.7,91.35,93.35,95.55,96.85
7/28/2005,,87.55,92.25,89.65,74.5,80.1,,96.2,89.85,91.85,95.7,96.9
7/29/2005,92.3,86.3,92.2,89.7,73.1,79.1,87.8,95.5,89,92.1,95.25,96.75
8/1/2005,92.8,89.05,92.55,91.5,73.1,80.9,88.3,95.7,92.7,93,95.95,96.9
8/2/2005,92.55,90.95,92.85,90.95,73.85,80.1,88.7,95.95,92.35,93,95.95,96.9
8/3/2005,92.55,89.85,92.75,90,73.85,80.1,88,95.35,88.85,91.35,95.2,96.9
8/4/2005,92.55,89.85,92.75,90,73.85,80.1,88,93.7,88.85,90.25,93.5,96.9
8/5/2005,91.55,89.85,91.75,89.35,73.85,79.75,87.5,93.7,88.85,90.25,93.5,95
8/8/2005,91.85,88.8,92.15,89.4,73.15,79.35,86.85,93.65,89.3,90.85,94.05,95.25
8/9/2005,91.85,88.8,92.15,89.4,73.15,79.35,86.85,93.65,89.3,90.85,94.05,95.25
8/10/2005,91.6,85.8,91.9,88.25,72.7,79.2,86.85,93.65,88.6,88.8,93.75,94
8/11/2005,91.35,84.25,90.75,86.95,72.2,79.5,87.55,93.5,85.35,88.25,93.85,93.9
8/12/2005,90.85,84.65,91.25,87.05,72.2,79.4,87.4,93.5,85.35,88.7,93.55,94.15
8/16/2005,91.25,85.4,91.85,88.15,73.1,82.05,88.3,94.35,86.4,89,94.2,94.95
8/17/2005,91.8,85.5,92.5,88.55,73.1,82.75,89.35,95.25,86.4,88.9,94.05,95.15
8/18/2005,91.85,,91.9,87.95,,83,90.1,95.1,87.2,89.45,93.8,94.9
8/19/2005,91.65,84.55,92.8,87.2,71.8,82.75,90.35,96.45,86.2,89.2,93.9,95.9
8/22/2005,91.85,84.55,92.7,87.35,72.5,83,90.35,96.9,87.1,89.5,93.9,95.95
8/23/2005,91.15,84.7,92.2,86.95,72.5,81.95,90.35,96.7,86.25,88.25,93.9,95.8
8/24/2005,90.65,83.9,91.2,85.85,,81.6,89.8,95.9,86.05,87.8,93.6,95.35
8/25/2005,90.85,83.7,91.5,86.3,72.5,81.75,90,95.6,85.3,87.7,93.45,95.25
8/26/2005,90.6,83.2,91.95,86.15,72.5,81.2,89.2,95.05,85.3,87.7,93.45,95.45
8/29/2005,90.65,84,91.85,86.8,71.8,81.85,89.2,95.7,85.3,87.7,93.35,94.9
8/30/2005,92.15,85.1,93.4,87.9,73.4,82.55,91.1,97.1,85.85,89.9,95.2,97
8/31/2005,93.15,86.9,93.35,89.3,82,87,93.85,97.8,87.05,92.25,96.2,97.4
9/1/2005,93.7,87.4,93.2,91.1,95.6,97,97.85,100.85,95.35,96.05,97.7,97.15
9/2/2005,92.7,86.85,93.15,89.8,95.05,96.05,97.25,102,92.6,94.25,97.2,97.1
9/6/2005,92.6,87.65,93.2,89.45,91.25,92.1,96.05,102.05,92.45,93.85,97.1,97.1
9/7/2005,92.85,87.45,93.95,89.8,92.1,92.4,,99.05,93.8,94.8,97.8,97.5
9/8/2005,92.85,86.7,93.85,89.5,90.9,91.6,95.65,99.1,91.15,93.2,97.3,98
9/9/2005,92.25,85.65,93.55,89.45,88.2,89.85,94.4,98.4,89.45,92.2,96.65,97.75
9/12/2005,92.5,85.25,93.5,89.65,86.95,89.15,94.65,99.25,89.45,92.25,96.75,97.85
