Date,USSW2Curncy,USSW5Curncy,USSW10Curncy
11/1/1988,8.86,9.1,9.22
11/2/1988,8.88,9.13,9.26
11/4/1988,9,9.28,9.22
11/7/1988,9.07,9.35,9.38
11/8/1988,,,9.46
11/9/1988,,,9.42
11/10/1988,9.15,9.4,9.48
11/11/1988,,,9.49
11/14/1988,9.19,9.43,9.53
11/15/1988,,,9.5
11/16/1988,9.32,9.55,9.5
11/17/1988,9.37,9.62,9.6
11/18/1988,9.37,9.59,9.64
11/21/1988,9.39,9.61,9.59
11/22/1988,9.46,9.64,9.61
11/24/1988,,,9.65
11/25/1988,9.59,9.77,9.71
11/28/1988,9.59,9.78,9.74
11/29/1988,9.52,9.73,9.75
11/30/1988,9.4,9.58,9.69
12/1/1988,9.44,9.58,9.61
12/2/1988,9.68,9.78,9.55
12/5/1988,9.57,9.7,9.67
12/6/1988,9.35,9.5,9.62
12/7/1988,9.45,9.56,9.42
12/8/1988,9.53,9.65,9.52
12/9/1988,9.59,9.71,9.53
12/12/1988,9.58,9.67,9.52
12/13/1988,9.67,9.74,9.5
12/14/1988,9.68,9.74,9.56
12/15/1988,9.52,,9.57
12/16/1988,9.54,,9.66
12/19/1988,9.58,,9.66
12/20/1988,9.56,,9.65
12/21/1988,9.53,,9.63
12/22/1988,9.46,,9.58
12/23/1988,9.41,,9.59
12/28/1988,9.53,,9.64
12/29/1988,9.57,,9.71
1/4/1989,9.66,,
1/5/1989,9.72,,
1/6/1989,9.79,,
1/9/1989,9.76,,
1/10/1989,9.84,9.89,
1/11/1989,9.87,9.9,
1/12/1989,9.8,9.83,
1/17/1989,9.75,9.73,9.71
1/18/1989,9.69,9.65,9.63
1/19/1989,9.68,9.66,9.64
1/20/1989,9.7,9.68,9.67
1/23/1989,9.67,9.62,9.63
1/24/1989,9.61,9.56,9.57
1/25/1989,9.68,9.64,9.63
1/26/1989,9.68,9.61,9.61
1/27/1989,9.61,9.56,9.57
1/30/1989,9.67,9.61,9.63
1/31/1989,9.67,9.6,9.61
2/1/1989,9.69,9.58,9.6
2/2/1989,9.7,9.59,9.61
2/3/1989,9.81,9.64,9.63
2/6/1989,9.83,9.66,9.64
2/7/1989,9.77,9.59,9.58
2/8/1989,9.83,9.63,9.6
2/9/1989,9.85,9.75,9.74
2/10/1989,9.97,9.81,9.79
2/13/1989,9.99,9.83,9.82
2/14/1989,10,9.9,9.87
2/15/1989,10.03,9.87,9.83
2/16/1989,10.04,9.85,9.82
2/17/1989,10.07,9.85,9.82
2/21/1989,10.1,9.9,9.85
2/22/1989,10.19,10,9.92
2/23/1989,10.26,10.06,9.96
2/27/1989,10.41,10.1,10.01
2/28/1989,10.29,10.09,9.98
3/1/1989,10.34,10.13,10.05
3/9/1989,10.27,10.02,9.91
3/10/1989,10.41,10.14,10.01
3/13/1989,10.32,,
3/14/1989,10.35,,
3/15/1989,10.33,,
3/16/1989,10.31,,
3/17/1989,10.3,,
3/20/1989,10.79,10.42,10.23
3/22/1989,10.72,10.33,10.13
3/23/1989,10.75,10.33,10.13
3/28/1989,10.73,10.33,10.11
3/29/1989,10.68,10.26,10.04
3/30/1989,10.7,10.28,10.06
3/31/1989,10.59,10.19,10
4/3/1989,10.45,10.09,9.93
4/4/1989,10.33,9.99,9.87
4/5/1989,10.41,10.03,9.9
