Coefs,StdErr,pValue,tStat,R2,adjR2,Event,Security,RegressVar,nObs
-0.0475958032482495,0.142172604611685,0.737794982141682,-0.334774785748967,-0.00910223603559146,-0.00910223603559146,University of Michigan Sentiment,1stPC,SurpriseZscore,118
-25.0767700184005,15.0344300803338,0.0953244331385822,-1.66795614362548,0.0131946791439231,0.0131946791439232,CPI MoM,1stPC,SurpriseZscore,90
0,NaN,NaN,NaN,-0.0240168552521851,-0.0240168552521851,FOMC Rate Decision,1stPC,SurpriseZscore,91
-7.37932065079887,15.7901848024846,0.640259556163965,-0.467335926913135,-0.00556249430228983,-0.00556249430228983,GDP Annualized QoQ,1stPC,SurpriseZscore,62
-0.0129493212852051,0.0501276194557687,0.796154492773622,-0.258327074490965,-0.00119244919331862,-0.00119244919331862,Initial Jobless Claims,1stPC,SurpriseZscore,265
-0.14185099102138,0.185226398040451,0.443780485737879,-0.76582491762541,0.00726370432085577,0.00726370432085577,ISM Manufacturing,1stPC,SurpriseZscore,46
-0.564814017254501,0.219208183167208,0.00997744265872902,-2.5766100931719,0.10774425179348,0.10774425179348,Change in Non-farm Payrolls,1stPC,SurpriseZscore,62
-11.5354598540692,20.9600573253598,0.582076316022526,-0.5503544038552,-0.0295145956245673,-0.0295145956245673,PCE Core Deflator MoM,1stPC,SurpriseZscore,33
18.8401832535057,20.7948365681786,0.364934291582907,0.906002948940506,0.00346072693006305,0.00346072693006305,Retail Sales Advance MoM,1stPC,SurpriseZscore,60
17.4931341188698,9.31964108123236,0.0605156260509447,1.87701800599349,-0.0178848897209218,-0.0178848897209218,Unemployment Rate,1stPC,SurpriseZscore,116
