Swap Term/Tenor,Mean,St. Dev,Kurtosis,Skewness
USSV 3m2y,41.0711239707078,24.1628367105878,4.83992740958387,0.82760888430912
USSV 6m2y,40.4301661350692,23.6712274285158,6.11436336280326,1.0922722570302
USSV 12m2y,39.0455793978844,23.9701307716226,12.1919017449516,2.13905560142653
USSV 24m2y,35.3381937998372,22.9865929559169,27.7030126653377,3.77291717732995
USSV 3m5y,35.2450616598861,21.0167877139494,13.7567626168813,2.31912151877327
USSV 6m5y,34.2912653702196,19.6104807488949,12.0847606809991,2.21623288398882
USSV 12m5y,32.4541815459723,17.8273731786104,12.432245646412,2.34647361037456
USSV 24m5y,29.6412092107405,15.253475419677,12.9879140374226,2.5035675658378
USSV 3m10y,28.9050308380797,16.8702975326652,20.0916555509873,3.08369488686783
USSV 6m10y,28.4530484947112,15.538428990501,15.3527157039861,2.71546166074381
USSV 12m10y,27.513748445891,14.160175936487,13.8163054644485,2.58919752496427
USSV 24m10y,25.9188612530513,12.5194746922596,13.3000444530293,2.56020694100611
