Var,USSV0C2Curncy,USSV0F2Curncy,USSV012Curncy,USSV022Curncy,USSV0C5Curncy,USSV0F5Curncy,USSV015Curncy,USSV025Curncy,USSV0C10Curncy,USSV0F10Curncy,USSV0110Curncy,USSV0210Curncy
CPI Ex Food and Energy MoM,-8.884,-6.859,-6.101,-4.137,-5.282,-1.362,-3.289,-1.456,-2.572,-2.193,-2.684,-1.808
,0.193,0.228,0.205,0.294,0.258,0.727,0.316,0.6,0.455,0.446,0.268,0.39
Change in Nonfarm Payrolls,-0.2,-0.21,-0.248,-0.19,-0.11,-0.132,-0.154,-0.124,-0.061,-0.061,-0.087,-0.07
,0,0,0,0,0.003,0,0,0,0.023,0.007,0,0
Conf. Board Consumer Confidence,-0.034,-0.054,-0.039,-0.042,-0.05,-0.031,-0.037,-0.027,-0.009,-0.025,-0.018,-0.024
,0.443,0.145,0.211,0.107,0.101,0.227,0.084,0.136,0.696,0.187,0.264,0.077
Durable Goods Orders,-10.401,-7.244,-4.055,-2.99,-7.71,-4.752,-3.999,-3.291,-3.839,-3.375,-1.266,-2.136
,0.119,0.194,0.389,0.438,0.092,0.212,0.213,0.226,0.255,0.231,0.593,0.3
FOMC Rate Decision (Upper Bound),16.721,-8.928,-26.817,-22.132,-67.786,-50.893,-42.49,-33.368,-31.203,-25.036,-22.835,-14.881
,0.748,0.837,0.465,0.462,0.057,0.087,0.09,0.115,0.235,0.254,0.216,0.354
GDP Annualized QoQ A,-21.001,-18.296,-17.449,-12.402,-1.82,-4.011,-7.631,-7.05,-0.124,-0.859,-2.536,-2.33
,0.155,0.138,0.094,0.147,0.857,0.635,0.283,0.241,0.987,0.89,0.629,0.609
ISM Manufacturing,-0.192,-0.234,-0.136,-0.176,-0.155,-0.157,-0.131,-0.116,-0.09,-0.095,-0.1,-0.072
,0.009,0,0.009,0,0.002,0,0,0,0.016,0.002,0,0.002
ISM Non-Manufacturing,-0.145,-0.123,-0.095,-0.052,-0.05,-0.06,-0.047,-0.034,-0.027,-0.036,-0.036,-0.027
,0.059,0.056,0.082,0.242,0.345,0.173,0.201,0.279,0.485,0.274,0.184,0.25
Initial Jobless Claims,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
,0.115,0.141,0.297,0.112,0.038,0.089,0.073,0.599,0.02,0.09,0.103,0.515
PPI Ex Food and Energy MoM,-8.321,-5.361,-7.236,-4.344,-5.342,-5.602,-4.506,-5.536,-3.049,-2.623,-3.066,-2.907
,0.068,0.159,0.025,0.1,0.087,0.032,0.04,0.003,0.186,0.173,0.058,0.039
Philadelphia Fed Business Outlook,-0.075,-0.054,-0.026,-0.026,-0.031,-0.036,-0.032,-0.024,-0.036,-0.035,-0.023,-0.018
,0.062,0.11,0.37,0.27,0.266,0.123,0.095,0.143,0.079,0.04,0.106,0.152
Retail Sales Advance MoM,-8.219,-14.983,-14.844,-15.998,-13.072,-16.715,-12.936,-11.823,-8.128,-12.443,-8.234,-7.047
,0.272,0.016,0.005,0,0.011,0,0,0,0.031,0,0.002,0.002
U. of Mich. Sentiment P,0.007,-0.022,-0.05,-0.057,0.005,-0.052,-0.039,-0.046,-0.002,-0.027,-0.026,-0.018
,0.892,0.601,0.162,0.053,0.881,0.074,0.11,0.027,0.923,0.202,0.148,0.253
R^2,0.016,0.023,0.03,0.033,0.018,0.027,0.033,0.034,0.012,0.019,0.024,0.021
RMSE,2.189,1.828,1.544,1.265,1.5,1.25,1.054,0.891,1.105,0.924,0.777,0.675
nObs,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522
