Var,USSV0C2Curncy,USSV0F2Curncy,USSV012Curncy,USSV022Curncy,USSV0C5Curncy,USSV0F5Curncy,USSV015Curncy,USSV025Curncy,USSV0C10Curncy,USSV0F10Curncy,USSV0110Curncy,USSV0210Curncy
CPI Ex Food and Energy MoM,18.692,12.428,5.879,-0.031,18.635,7.775,2.965,-2.222,3.594,-0.372,-8.09,-4.098
,0.344,0.457,0.651,0.998,0.166,0.479,0.743,0.776,0.753,0.967,0.282,0.53
Change in Nonfarm Payrolls,-0.247,-0.221,-0.166,-0.097,-0.117,-0.122,-0.119,-0.12,-0.122,-0.109,-0.095,-0.075
,0.057,0.044,0.052,0.144,0.184,0.09,0.045,0.02,0.103,0.068,0.053,0.08
Conf. Board Consumer Confidence,0.11,0.046,0.029,0.052,0.122,0.061,0.076,0.081,0.129,0.091,0.096,0.064
,0.377,0.663,0.722,0.417,0.151,0.38,0.181,0.1,0.073,0.11,0.042,0.117
Durable Goods Orders,-10.163,-12.691,-13.574,-6.448,-22.18,-10.945,-8.66,-5.934,-5.939,-4.703,-0.775,-1.15
,0.527,0.35,0.2,0.434,0.043,0.221,0.239,0.352,0.523,0.523,0.899,0.828
FOMC Rate Decision (Upper Bound),21.952,-4.32,-23.908,-17.662,-67.351,-48.54,-38.969,-30.448,-28.222,-22.583,-18.831,-12.437
,0.691,0.926,0.511,0.532,0.073,0.114,0.123,0.164,0.377,0.372,0.37,0.495
GDP Annualized QoQ A,22.25,15.541,-0.403,12.397,11.246,10.456,12.711,3.47,19.391,12.555,14.061,7.409
,0.58,0.647,0.988,0.547,0.681,0.64,0.489,0.828,0.404,0.496,0.358,0.577
ISM Manufacturing,-0.29,-0.208,-0.082,-0.049,-0.071,-0.047,-0.041,0.003,-0.014,-0.006,-0.088,0.012
,0.144,0.214,0.533,0.628,0.598,0.669,0.652,0.973,0.905,0.945,0.244,0.85
ISM Non-Manufacturing,-0.307,-0.259,-0.115,-0.102,-0.037,-0.039,-0.054,-0.067,0.02,-0.011,-0.08,-0.057
,0.194,0.195,0.458,0.4,0.816,0.765,0.615,0.475,0.886,0.922,0.372,0.466
Initial Jobless Claims,0.179,0.196,0.131,0.088,0.117,0.112,0.086,0.069,0.096,0.084,0.082,0.057
,0.011,0.001,0.005,0.015,0.015,0.004,0.008,0.014,0.018,0.009,0.002,0.014
PPI Ex Food and Energy MoM,-20.657,-11.254,-10.077,-4.626,-1.728,-3.096,-3.302,-1.376,8.108,0.463,-0.365,2.466
,0.226,0.435,0.37,0.597,0.882,0.744,0.672,0.839,0.412,0.953,0.955,0.662
Philadelphia Fed Business Outlook,-0.259,-0.266,-0.182,-0.109,-0.203,-0.165,-0.123,-0.12,-0.176,-0.19,-0.135,-0.106
,0.03,0.009,0.021,0.075,0.013,0.013,0.025,0.012,0.011,0.001,0.003,0.007
Retail Sales Advance MoM,-13.536,-24.763,-19.494,-18.983,-19.857,-20.206,-16.598,-14.049,-14.952,-19.238,-12.9,-13.687
,0.457,0.107,0.104,0.042,0.109,0.046,0.046,0.052,0.155,0.021,0.063,0.023
U. of Mich. Sentiment P,0.145,-0.006,-0.008,-0.047,0.03,-0.012,-0.017,-0.062,-0.059,-0.06,-0.055,-0.055
,0.281,0.957,0.926,0.499,0.745,0.868,0.784,0.244,0.452,0.332,0.285,0.216
R^2,0.032,0.039,0.031,0.025,0.037,0.036,0.036,0.039,0.031,0.043,0.047,0.036
RMSE,2.307,1.95,1.52,1.182,1.571,1.283,1.055,0.915,1.335,1.058,0.878,0.762
nObs,735,735,735,735,735,735,735,735,735,735,735,735
