Var,USSV0C2Curncy,USSV0F2Curncy,USSV012Curncy,USSV022Curncy,USSV0C5Curncy,USSV0F5Curncy,USSV015Curncy,USSV025Curncy,USSV0C10Curncy,USSV0F10Curncy,USSV0110Curncy,USSV0210Curncy
CPI Ex Food and Energy MoM,-12.745,-15.074,-17.222,-10.542,-13.858,-7.489,-8.154,-5.894,-4.067,-2.45,-5.59,-4.734
,0.068,0.004,0,0.003,0.011,0.098,0.015,0.041,0.266,0.42,0.035,0.044
Change in Nonfarm Payrolls,-0.056,-0.035,-0.054,-0.069,-0.031,-0.023,-0.055,-0.033,0.013,0.001,-0.032,-0.016
,0.278,0.372,0.117,0.008,0.436,0.496,0.026,0.118,0.633,0.968,0.1,0.355
Conf. Board Consumer Confidence,-0.001,-0.045,-0.05,-0.013,-0.039,-0.028,-0.026,-0.004,-0.031,-0.025,-0.001,-0.016
,0.99,0.27,0.163,0.635,0.356,0.413,0.305,0.84,0.264,0.276,0.943,0.384
Durable Goods Orders,-7.88,-6.544,-5.528,-2.537,-7.365,-4.155,-3.523,-3.127,-3.73,-3.085,-0.444,-1.824
,0.174,0.138,0.156,0.387,0.106,0.271,0.207,0.194,0.22,0.223,0.84,0.35
FOMC Rate Decision (Upper Bound),1.87,-9.406,-11.779,6.133,-6.873,-11.218,-13.073,-3.403,-1.102,-3.265,-8.112,3.917
,0.967,0.786,0.7,0.79,0.847,0.705,0.55,0.857,0.963,0.869,0.639,0.798
GDP Annualized QoQ A,1.769,-13.005,-2.65,-0.731,3.39,-5.304,-2.773,-1.879,-3.426,-5.008,-2.325,-0.965
,0.895,0.202,0.769,0.914,0.748,0.543,0.668,0.736,0.627,0.393,0.648,0.831
ISM Manufacturing,-0.259,-0.304,-0.23,-0.179,-0.185,-0.18,-0.159,-0.132,-0.134,-0.139,-0.159,-0.104
,0.001,0,0,0,0.002,0,0,0,0.001,0,0,0
ISM Non-Manufacturing,-0.141,-0.139,-0.086,-0.053,-0.061,-0.082,-0.053,-0.036,-0.03,-0.04,-0.029,-0.031
,0.015,0.002,0.027,0.071,0.178,0.031,0.06,0.135,0.317,0.111,0.186,0.108
Initial Jobless Claims,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
,0.011,0.008,0.063,0.003,0.003,0.015,0.003,0.385,0,0.007,0.01,0.306
PPI Ex Food and Energy MoM,-8.547,-6.435,-6.357,-3.113,-6.046,-4.718,-3.128,-2.924,-3.214,-2.522,-2.661,-2.576
,0.081,0.084,0.054,0.21,0.116,0.139,0.185,0.15,0.212,0.239,0.153,0.119
Philadelphia Fed Business Outlook,-0.06,-0.037,-0.018,-0.018,-0.037,-0.048,-0.014,-0.02,-0.027,-0.032,-0.008,-0.011
,0.139,0.237,0.514,0.378,0.243,0.071,0.474,0.231,0.212,0.077,0.589,0.439
Retail Sales Advance MoM,-4.373,-6.568,-2.917,-5.946,3.628,-9.837,-3.706,-3.889,1.375,-8.093,2.52,0.035
,0.554,0.242,0.557,0.112,0.532,0.041,0.298,0.205,0.723,0.012,0.369,0.989
U. of Mich. Sentiment P,-0.092,0.01,-0.004,-0.036,-0.006,-0.107,-0.023,-0.024,0.002,-0.057,-0.001,-0.004
,0.116,0.831,0.919,0.226,0.891,0.005,0.412,0.332,0.945,0.026,0.973,0.855
R^2,0.043,0.07,0.059,0.062,0.039,0.051,0.054,0.04,0.037,0.051,0.055,0.034
RMSE,1.339,1.018,0.899,0.677,1.051,0.871,0.644,0.555,0.703,0.584,0.508,0.451
nObs,869,869,869,869,869,869,869,869,869,869,869,869
