Var,USSV0C2Curncy,USSV0F2Curncy,USSV012Curncy,USSV022Curncy,USSV0C5Curncy,USSV0F5Curncy,USSV015Curncy,USSV025Curncy,USSV0C10Curncy,USSV0F10Curncy,USSV0110Curncy,USSV0210Curncy
CPI Ex Food and Energy MoM,-20.56,-22.216,-22.222,-13.579,-20.023,-12.259,-11.278,-7.697,-7.292,-5.114,-7.842,-5.902
,0.013,0.001,0.001,0.008,0.011,0.045,0.026,0.067,0.176,0.189,0.04,0.084
Change in Nonfarm Payrolls,-0.147,-0.124,-0.19,-0.19,-0.137,-0.097,-0.159,-0.103,-0.009,-0.045,-0.106,-0.064
,0.134,0.115,0.014,0.002,0.141,0.183,0.009,0.039,0.891,0.332,0.02,0.115
Conf. Board Consumer Confidence,-0.011,-0.006,0.003,-0.003,0.006,0.014,0,0.003,0.002,0.005,0.01,-0.005
,0.9,0.927,0.97,0.954,0.937,0.826,0.994,0.936,0.975,0.903,0.806,0.898
Durable Goods Orders,-9.389,-9.633,-6.92,-4.02,-5.058,-3.475,-3.804,-2.287,-3.434,-2.98,-0.267,-1.755
,0.311,0.198,0.343,0.483,0.565,0.614,0.503,0.628,0.572,0.497,0.95,0.648
FOMC Rate Decision (Upper Bound),0,0,0,0,0,0,0,0,0,0,0,0
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GDP Annualized QoQ A,12.79,-5.596,1.525,5.274,19.618,0.564,0.402,0.384,0.481,2.29,0.836,-1.53
,0.581,0.765,0.933,0.713,0.372,0.974,0.977,0.974,0.975,0.835,0.938,0.874
ISM Manufacturing,-0.184,-0.341,-0.184,-0.173,-0.169,-0.177,-0.137,-0.15,-0.124,-0.125,-0.133,-0.095
,0.217,0.005,0.116,0.06,0.231,0.109,0.133,0.049,0.203,0.076,0.054,0.125
ISM Non-Manufacturing,-0.174,-0.157,-0.101,-0.052,-0.074,-0.099,-0.053,-0.041,-0.035,-0.051,-0.023,-0.024
,0.015,0.007,0.073,0.234,0.276,0.063,0.226,0.263,0.457,0.133,0.493,0.422
Initial Jobless Claims,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
,0.017,0.016,0.138,0.017,0.018,0.04,0.024,0.458,0.005,0.016,0.042,0.414
PPI Ex Food and Energy MoM,28.357,26.985,15.058,28.766,10.215,11.861,10.243,11.173,19.312,10.482,-0.132,9.094
,0.166,0.103,0.35,0.023,0.598,0.435,0.415,0.284,0.151,0.279,0.989,0.284
Philadelphia Fed Business Outlook,-0.028,0.006,0.008,-0.016,-0.043,-0.031,-0.007,-0.009,-0.036,-0.017,-0.002,-0.006
,0.631,0.907,0.864,0.649,0.443,0.475,0.838,0.752,0.345,0.54,0.955,0.793
Retail Sales Advance MoM,0.986,-7.282,11.475,4.919,48.753,-12.134,8.653,7.3,26.095,-24.764,14.002,11.575
,0.96,0.648,0.462,0.687,0.01,0.41,0.476,0.469,0.045,0.009,0.127,0.16
U. of Mich. Sentiment P,0.008,0.06,0.028,0.028,0.051,0.017,0.033,0.021,0.052,0.029,0.014,0.03
,0.948,0.532,0.764,0.7,0.647,0.843,0.65,0.723,0.504,0.602,0.797,0.536
R^2,0.083,0.125,0.092,0.109,0.085,0.061,0.075,0.053,0.066,0.077,0.068,0.045
RMSE,1.378,1.113,1.086,0.852,1.308,1.025,0.846,0.703,0.905,0.652,0.639,0.573
nObs,288,288,288,288,288,288,288,288,288,288,288,288
