Var,USSV0C2Curncy,USSV0F2Curncy,USSV012Curncy,USSV022Curncy,USSV0C5Curncy,USSV0F5Curncy,USSV015Curncy,USSV025Curncy,USSV0C10Curncy,USSV0F10Curncy,USSV0110Curncy,USSV0210Curncy
CPI Ex Food and Energy MoM,-6.448,-2.759,-0.572,-0.976,-0.313,2.225,-0.829,0.775,-1.868,-2.074,-1.264,-0.315
,0.512,0.739,0.934,0.865,0.962,0.684,0.86,0.845,0.704,0.615,0.713,0.916
Change in Nonfarm Payrolls,-0.295,-0.327,-0.377,-0.272,-0.163,-0.204,-0.22,-0.185,-0.111,-0.103,-0.124,-0.105
,0,0,0,0,0.002,0,0,0,0.005,0.002,0,0
Conf. Board Consumer Confidence,-0.047,-0.058,-0.035,-0.052,-0.055,-0.032,-0.041,-0.035,-0.001,-0.025,-0.024,-0.028
,0.43,0.25,0.402,0.137,0.174,0.339,0.151,0.145,0.975,0.322,0.256,0.129
Durable Goods Orders,-13.583,-8.569,-3.311,-4.07,-8.455,-5.83,-4.952,-3.881,-4.293,-4.006,-2.438,-2.728
,0.21,0.349,0.665,0.521,0.243,0.334,0.34,0.375,0.429,0.378,0.52,0.406
FOMC Rate Decision (Upper Bound),23.483,-11.469,-46.226,-52.646,-129.319,-89.654,-72.223,-63.247,-59.688,-44.958,-37.294,-33.616
,0.78,0.872,0.435,0.284,0.021,0.056,0.073,0.062,0.156,0.202,0.204,0.187
GDP Annualized QoQ A,-40.248,-22.829,-29.977,-22.541,-7.547,-4.031,-12.247,-11.938,1.898,2.12,-2.998,-3.863
,0.081,0.241,0.065,0.095,0.624,0.754,0.268,0.2,0.87,0.827,0.71,0.581
ISM Manufacturing,-0.151,-0.193,-0.08,-0.172,-0.137,-0.142,-0.114,-0.106,-0.063,-0.068,-0.064,-0.053
,0.155,0.032,0.283,0.006,0.054,0.016,0.025,0.013,0.239,0.124,0.084,0.101
ISM Non-Manufacturing,-0.147,-0.087,-0.106,-0.048,-0.026,-0.014,-0.035,-0.028,-0.018,-0.024,-0.048,-0.018
,0.332,0.497,0.321,0.588,0.801,0.866,0.63,0.647,0.811,0.701,0.362,0.696
Initial Jobless Claims,0.053,0.08,0.114,0.092,0.055,0.059,0.071,0.058,0.057,0.051,0.048,0.039
,0.202,0.023,0,0,0.049,0.011,0,0.001,0.006,0.004,0.001,0.002
PPI Ex Food and Energy MoM,-8.004,-4.385,-7.017,-4.369,-4.116,-5.601,-4.663,-6.341,-2.461,-2.41,-2.722,-2.687
,0.212,0.418,0.12,0.244,0.337,0.117,0.129,0.014,0.444,0.37,0.224,0.167
Philadelphia Fed Business Outlook,-0.078,-0.057,-0.022,-0.024,-0.023,-0.023,-0.038,-0.022,-0.036,-0.033,-0.028,-0.019
,0.186,0.248,0.602,0.49,0.559,0.477,0.178,0.349,0.216,0.181,0.17,0.283
Retail Sales Advance MoM,-11.639,-20.213,-21.858,-21.918,-23.88,-21.471,-18.429,-16.341,-14.081,-15.319,-14.764,-11.36
,0.291,0.03,0.005,0.001,0.001,0,0,0,0.011,0.001,0,0.001
U. of Mich. Sentiment P,0.046,-0.031,-0.062,-0.06,0.016,-0.028,-0.041,-0.051,-0.002,-0.015,-0.032,-0.021
,0.506,0.593,0.202,0.136,0.723,0.474,0.211,0.069,0.956,0.61,0.179,0.317
R^2,0.018,0.027,0.047,0.046,0.023,0.033,0.045,0.049,0.017,0.023,0.035,0.032
RMSE,2.521,2.128,1.776,1.475,1.684,1.404,1.208,1.017,1.263,1.057,0.881,0.764
nObs,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653
