Var,USSV0C2Curncy,USSV0F2Curncy,USSV012Curncy,USSV022Curncy,USSV0C5Curncy,USSV0F5Curncy,USSV015Curncy,USSV025Curncy,USSV0C10Curncy,USSV0F10Curncy,USSV0110Curncy,USSV0210Curncy
CPI Ex Food and Energy MoM,-8.545,2.344,1.912,-1.769,-5.245,1.962,-2.383,1.163,-2.51,-2.665,0.342,0.075
,0.531,0.832,0.848,0.842,0.561,0.803,0.742,0.85,0.677,0.632,0.942,0.986
Change in Nonfarm Payrolls,-0.247,-0.264,-0.309,-0.214,-0.21,-0.171,-0.204,-0.196,-0.177,-0.134,-0.135,-0.12
,0.125,0.043,0.008,0.041,0.049,0.065,0.017,0.007,0.013,0.041,0.015,0.017
Conf. Board Consumer Confidence,0.027,-0.014,0.023,-0.011,-0.028,-0.021,-0.023,-0.012,-0.004,-0.025,-0.004,-0.004
,0.781,0.858,0.744,0.858,0.67,0.714,0.665,0.778,0.933,0.53,0.9,0.901
Durable Goods Orders,-10.97,0.59,1.154,-1.932,-5.534,-2.442,-3.516,-1.369,-5.702,-2.957,-3.186,-2.014
,0.527,0.967,0.927,0.864,0.63,0.806,0.703,0.861,0.456,0.675,0.594,0.708
FOMC Rate Decision (Upper Bound),0,0,0,0,0,0,0,0,0,0,0,0
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GDP Annualized QoQ A,-38.675,-40.01,-5.089,7.258,-0.788,21.121,3.623,-1.032,1.788,29.202,10.891,14.174
,0.45,0.335,0.892,0.828,0.981,0.473,0.894,0.964,0.937,0.161,0.537,0.372
ISM Manufacturing,-0.077,-0.195,-0.113,-0.301,-0.195,-0.227,-0.177,-0.18,-0.085,-0.107,-0.096,-0.082
,0.634,0.137,0.336,0.004,0.068,0.015,0.039,0.014,0.234,0.105,0.087,0.104
ISM Non-Manufacturing,-0.077,-0.078,-0.047,-0.033,-0.018,0.026,-0.01,0.003,-0.028,-0.011,-0.024,0.005
,0.783,0.731,0.817,0.857,0.921,0.872,0.948,0.984,0.821,0.921,0.8,0.953
Initial Jobless Claims,0.044,0.049,0.158,0.151,0.126,0.115,0.107,0.087,0.111,0.085,0.073,0.068
,0.577,0.445,0.007,0.004,0.017,0.012,0.012,0.016,0.002,0.009,0.008,0.006
PPI Ex Food and Energy MoM,-6.488,-0.918,-1.035,0.593,-3.21,-3.357,-1.972,-3.045,-6.211,-2.149,-2.998,-1.923
,0.577,0.923,0.903,0.938,0.677,0.616,0.75,0.561,0.227,0.65,0.455,0.594
Philadelphia Fed Business Outlook,-0.166,-0.088,-0.049,-0.053,0.014,-0.017,-0.053,-0.029,-0.013,-0.018,-0.033,-0.023
,0.083,0.255,0.48,0.399,0.825,0.757,0.298,0.505,0.756,0.649,0.319,0.444
Retail Sales Advance MoM,-13.956,-13.539,-19.353,-20.317,-25.621,-20.126,-16.968,-18.601,-14.176,-12.005,-13.771,-9.57
,0.373,0.286,0.09,0.047,0.014,0.026,0.042,0.009,0.04,0.06,0.011,0.049
U. of Mich. Sentiment P,0.042,0.034,0.034,0.021,0.026,0.016,0.02,-0.011,0.066,0.042,0.006,0.011
,0.754,0.751,0.723,0.803,0.767,0.838,0.781,0.85,0.261,0.441,0.899,0.785
R^2,0.016,0.02,0.036,0.048,0.038,0.041,0.041,0.05,0.047,0.039,0.046,0.041
RMSE,2.505,2.031,1.826,1.63,1.656,1.439,1.33,1.129,1.105,1.019,0.864,0.776
nObs,541,541,541,541,541,541,541,541,541,541,541,541
