Var,USSV0C2 CURNCY,USSV0F2 CURNCY,USSV012 CURNCY,USSV022 CURNCY,USSV0C5 CURNCY,USSV0F5 CURNCY,USSV015 CURNCY,USSV025 CURNCY,USSV0C10 CURNCY,USSV0F10 CURNCY,USSV0110 CURNCY,USSV0210 CURNCY
Adjusted Retail Beta1,-0.196,-0.422,-0.436,-0.319,-0.174,-0.306,-0.259,-0.186,-0.063,-0.197,-0.148,-0.09
,-0.835,-2.154,-2.583,-2.332,-1.074,-2.281,-2.285,-1.913,-0.528,-2.009,-1.748,-1.232
Conference Boar Beta1,0.313,0.054,0.168,0.013,0.178,0.101,0.039,0.018,0.18,0.073,0.057,0.013
,1.482,0.306,1.11,0.108,1.226,0.841,0.387,0.204,1.672,0.83,0.753,0.199
Federal Funds T Beta1,-0.379,-0.702,-0.781,-0.656,-0.986,-1.16,-1.131,-0.801,-0.866,-0.791,-0.671,-0.489
,-0.239,-0.531,-0.687,-0.711,-0.904,-1.283,-1.478,-1.221,-1.073,-1.194,-1.178,-0.99
GDP US Chained Beta1,-0.532,-0.401,-0.471,-0.518,-0.21,-0.377,-0.212,-0.271,-0.287,-0.258,-0.165,-0.243
,-1.288,-1.167,-1.59,-2.159,-0.739,-1.602,-1.062,-1.584,-1.367,-1.498,-1.11,-1.888
ISM Manufacturi Beta1,-0.299,-0.71,-0.367,-0.432,-0.221,-0.312,-0.308,-0.284,-0.103,-0.164,-0.244,-0.185
,-1.403,-4.006,-2.402,-3.495,-1.511,-2.57,-3,-3.227,-0.95,-1.846,-3.193,-2.787
Philadelphia Fe Beta1,-0.412,-0.297,-0.041,-0.074,0.041,-0.133,-0.115,-0.051,-0.023,-0.096,-0.054,-0.005
,-1.952,-1.69,-0.27,-0.605,0.285,-1.102,-1.131,-0.588,-0.218,-1.091,-0.718,-0.083
US CPI Urban Co Beta1,-0.063,-0.088,-0.149,-0.141,-0.178,-0.135,-0.113,-0.074,-0.026,-0.038,-0.029,-0.013
,-0.228,-0.38,-0.748,-0.873,-0.934,-0.853,-0.845,-0.647,-0.182,-0.327,-0.294,-0.145
US Durable Good Beta1,-0.451,-0.424,-0.376,-0.325,-0.467,-0.339,-0.363,-0.288,-0.218,-0.258,-0.202,-0.201
,-2.01,-2.27,-2.336,-2.492,-3.028,-2.646,-3.354,-3.101,-1.909,-2.757,-2.511,-2.883
US Employees on Beta1,-1.319,-1.179,-1.101,-0.904,-1.068,-0.902,-0.819,-0.607,-0.709,-0.584,-0.557,-0.41
,-5.824,-6.254,-6.78,-6.872,-6.855,-6.985,-7.5,-6.48,-6.155,-6.176,-6.849,-5.813
US Initial Jobl Beta1,0.201,0.084,0.202,0.111,0.152,0.08,0.116,0.071,0.152,0.043,0.07,0.055
,1.727,0.866,2.429,1.639,1.896,1.214,2.069,1.467,2.577,0.887,1.672,1.527
US PPI Final De Beta1,0.069,0.305,0.369,0.087,0.122,0.079,0.034,-0.082,0.055,0.07,0.006,-0.045
,0.172,0.915,1.286,0.373,0.445,0.345,0.178,-0.493,0.27,0.419,0.045,-0.362
University of M Beta1,-0.038,0.067,0.246,0.114,-0.057,0.004,0.024,0.038,-0.113,-0.014,0.001,0.02
,-0.19,0.403,1.721,0.984,-0.416,0.031,0.245,0.463,-1.113,-0.164,0.01,0.316
R^2,0.021,0.027,0.032,0.031,0.028,0.029,0.036,0.028,0.024,0.023,0.029,0.023
RMSE,2.241,1.866,1.606,1.302,1.541,1.278,1.081,0.927,1.14,0.936,0.805,0.698
nObs,2441,2441,2441,2441,2441,2441,2441,2441,2441,2441,2441,2441
