Var,USSV0C2 CURNCY,USSV0F2 CURNCY,USSV012 CURNCY,USSV022 CURNCY,USSV0C5 CURNCY,USSV0F5 CURNCY,USSV015 CURNCY,USSV025 CURNCY,USSV0C10 CURNCY,USSV0F10 CURNCY,USSV0110 CURNCY,USSV0210 CURNCY
Adjusted Retail Beta1,-0.821,-1.408,-1.084,-0.863,-0.887,-0.959,-0.856,-0.623,-0.596,-0.726,-0.664,-0.598
,-1.556,-3.202,-2.867,-2.817,-2.454,-3.201,-3.377,-2.871,-2.226,-3.311,-3.52,-3.659
Conference Boar Beta1,0.005,-0.019,-0.027,-0.023,-0.012,-0.01,-0.013,-0.014,0.008,-0.004,-0.002,-0.012
,0.157,-0.686,-1.131,-1.181,-0.541,-0.517,-0.801,-1.003,0.477,-0.262,-0.153,-1.153
Federal Funds T Beta1,3.02,1.652,0.77,1.177,-1.5,-0.167,-0.341,0.285,0.452,1.304,0.679,1.189
,0.657,0.432,0.234,0.442,-0.477,-0.064,-0.155,0.151,0.194,0.683,0.414,0.835
GDP US Chained Beta1,-0.278,-0.09,-0.66,-0.371,-0.686,-0.548,-0.225,-0.343,-0.997,-0.876,-0.394,-0.514
,-0.199,-0.077,-0.659,-0.458,-0.717,-0.691,-0.335,-0.597,-1.406,-1.509,-0.789,-1.187
ISM Manufacturi Beta1,-0.13,-0.154,-0.072,-0.08,-0.061,-0.055,-0.045,-0.039,-0.031,-0.03,-0.053,-0.031
,-1.34,-1.91,-1.037,-1.425,-0.915,-1.005,-0.961,-0.976,-0.627,-0.736,-1.526,-1.028
Philadelphia Fe Beta1,-0.021,-0.024,-0.011,-0.007,-0.016,-0.017,-0.01,-0.01,-0.015,-0.018,-0.01,-0.007
,-1.222,-1.649,-0.909,-0.731,-1.334,-1.682,-1.209,-1.357,-1.678,-2.501,-1.569,-1.353
US CPI Urban Co Beta1,-1.201,-3.364,-5.913,-5.604,-8.67,-7.392,-5.634,-5.454,-5.784,-5.793,-4.767,-3.915
,-0.326,-1.097,-2.242,-2.622,-3.439,-3.534,-3.186,-3.599,-3.095,-3.786,-3.621,-3.43
US Durable Good Beta1,-0.02,-0.026,0,-0.009,-0.062,-0.033,-0.025,-0.024,-0.019,-0.013,-0.001,-0.011
,-0.334,-0.523,0.008,-0.257,-1.546,-1.003,-0.874,-1.005,-0.649,-0.516,-0.061,-0.632
US Employees on Beta1,-0.008,-0.007,-0.008,-0.006,-0.004,-0.005,-0.005,-0.004,-0.002,-0.002,-0.003,-0.002
,-3.785,-4.224,-5.218,-4.732,-2.703,-4.111,-5.001,-4.425,-2.368,-2.819,-3.875,-3.558
US Initial Jobl Beta1,0.008,0.011,0.01,0.007,0.004,0.005,0.006,0.005,0.004,0.004,0.004,0.004
,1.853,2.993,3.217,2.81,1.358,2.114,3.115,2.823,1.954,2.263,2.965,2.766
US PPI Final De Beta1,-2.01,-1.229,-1.101,-0.894,-1.208,-1.108,-1.187,-1.563,-0.227,-0.434,-0.796,-0.448
,-1.628,-1.196,-1.246,-1.248,-1.43,-1.581,-2.003,-3.078,-0.362,-0.846,-1.803,-1.17
University of M Beta1,0.019,0.078,0.033,-0.039,0.019,-0.029,-0.022,-0.055,-0.032,-0.011,-0.01,-0.016
