Var,USSV0C2 CURNCY,USSV0F2 CURNCY,USSV012 CURNCY,USSV022 CURNCY,USSV0C5 CURNCY,USSV0F5 CURNCY,USSV015 CURNCY,USSV025 CURNCY,USSV0C10 CURNCY,USSV0F10 CURNCY,USSV0110 CURNCY,USSV0210 CURNCY
Adjusted Retail Beta1,-2.711,-2.467,-2.213,-1.798,-2.115,-2.116,-1.546,-1.379,-1.43,-1.33,-0.977,-0.758
,-2.38,-2.607,-2.719,-2.73,-2.7,-3.269,-2.827,-2.948,-2.465,-2.807,-2.399,-2.147
Conference Boar Beta1,-0.034,-0.045,-0.036,-0.041,-0.053,-0.031,-0.038,-0.033,-0.022,-0.031,-0.026,-0.028
,-0.992,-1.589,-1.461,-2.053,-2.266,-1.593,-2.323,-2.323,-1.245,-2.215,-2.155,-2.651
Federal Funds T Beta1,-0.207,-4.637,-7.891,-7.078,-10.253,-13.763,-14.198,-9.728,-8.967,-9.661,-7.833,-7.456
,-0.011,-0.299,-0.592,-0.656,-0.799,-1.298,-1.586,-1.269,-0.944,-1.245,-1.174,-1.289
GDP US Chained Beta1,0,0,0,0,0,0,0,0,0,0,0,0
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ISM Manufacturi Beta1,-0.229,-0.329,-0.192,-0.254,-0.221,-0.231,-0.203,-0.179,-0.146,-0.149,-0.148,-0.129
,-2.297,-3.971,-2.699,-4.411,-3.216,-4.08,-4.251,-4.358,-2.876,-3.602,-4.142,-4.171
Philadelphia Fe Beta1,-0.021,-0.013,-0.001,-0.006,-0.002,-0.008,-0.007,-0.005,-0.005,-0.006,-0.003,-0.002
,-1.125,-0.848,-0.06,-0.522,-0.121,-0.695,-0.815,-0.584,-0.559,-0.698,-0.429,-0.419
US CPI Urban Co Beta1,0,0,0,0,0,0,0,0,0,0,0,0
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
US Durable Good Beta1,-0.118,-0.061,-0.002,-0.023,-0.049,-0.052,-0.037,-0.045,-0.038,-0.042,-0.029,-0.041
,-1.26,-0.778,-0.025,-0.433,-0.763,-0.981,-0.818,-1.163,-0.799,-1.086,-0.87,-1.419
US Employees on Beta1,-0.009,-0.009,-0.012,-0.01,-0.005,-0.006,-0.007,-0.006,-0.002,-0.002,-0.004,-0.003
,-3.381,-4.316,-6.353,-6.295,-2.535,-4.263,-5.842,-5.263,-1.572,-2.214,-4.072,-4.22
US Initial Jobl Beta1,0.002,0.006,0.014,0.011,0.003,0.004,0.009,0.006,0.004,0.003,0.004,0.004
,0.407,1.222,3.226,3.167,0.748,1.212,3.077,2.621,1.356,1.091,1.999,2.2
US PPI Final De Beta1,-1.878,-1.144,-1.049,-0.832,-1.12,-1.034,-1.137,-1.495,-0.168,-0.381,-0.754,-0.402
,-1.522,-1.116,-1.189,-1.167,-1.32,-1.474,-1.919,-2.949,-0.268,-0.741,-1.708,-1.051
University of M Beta1,-0.192,0.007,0.043,0.039,-0.12,-0.056,-0.013,-0.003,-0.105,-0.014,-0.009,-0.007
,-1.451,0.062,0.455,0.505,-1.317,-0.749,-0.2,-0.058,-1.556,-0.25,-0.194,-0.16
Adjusted Retail Beta2,0.108,0.07,0.157,0.097,0.117,0.093,0.098,0.073,0.063,0.059,0.077,0.075
,0.619,0.485,1.257,0.954,0.973,0.931,1.172,1.009,0.703,0.816,1.23,1.387
Conference Boar Beta2,0.205,0.413,0.337,0.351,0.347,0.275,0.262,0.239,0.21,0.209,0.22,0.21
,0.73,1.777,1.682,2.168,1.803,1.727,1.951,2.076,1.47,1.792,2.199,2.421
Federal Funds T Beta2,-1.068,-0.813,-0.599,-0.152,-0.388,-0.38,-0.228,-0.048,-0.293,-0.019,-0.044,-0.01
,-2.169,-1.988,-1.703,-0.534,-1.146,-1.357,-0.964,-0.238,-1.169,-0.094,-0.251,-0.069
GDP US Chained Beta2,-0.465,-0.253,-0.14,-0.18,-0.117,-0.133,-0.066,-0.11,-0.141,-0.106,-0.043,-0.071
,-1.773,-1.162,-0.749,-1.188,-0.65,-0.896,-0.526,-1.021,-1.06,-0.975,-0.46,-0.876
ISM Manufacturi Beta2,0.011,-0.058,0.089,0.081,0.186,0.087,0.115,0.026,0.057,0.064,0.071,0.028
,0.042,-0.275,0.488,0.547,1.059,0.603,0.934,0.246,0.438,0.603,0.775,0.35
Philadelphia Fe Beta2,-0.2,0.066,0.094,0.019,0.548,0.191,0.188,0.117,0.431,0.149,0.154,0.146
,-0.693,0.278,0.456,0.115,2.768,1.168,1.359,0.991,2.94,1.248,1.501,1.635
US CPI Urban Co Beta2,-0.081,0.04,-0.013,-0.012,-0.034,-0.034,-0.017,-0.017,-0.011,0.059,0.003,0.024
,-0.519,0.308,-0.12,-0.139,-0.321,-0.382,-0.233,-0.273,-0.135,0.918,0.06,0.495
US Durable Good Beta2,-0.38,-0.25,-0.257,-0.271,-0.204,-0.177,-0.206,-0.174,-0.264,-0.229,-0.183,-0.143
,-1.393,-1.104,-1.318,-1.719,-1.09,-1.143,-1.577,-1.555,-1.901,-2.022,-1.878,-1.687
US Employees on Beta2,-1.021,-0.693,-0.496,-0.347,-0.793,-0.55,-0.452,-0.295,-0.6,-0.364,-0.357,-0.258
,-3.364,-2.749,-2.288,-1.978,-3.799,-3.188,-3.102,-2.367,-3.881,-2.881,-3.29,-2.741
US Initial Jobl Beta2,0.192,0.098,0.011,-0.038,0.089,0.062,0.021,0.006,0.062,0.019,0.019,0.001
,1.28,0.787,0.105,-0.443,0.862,0.733,0.292,0.105,0.808,0.304,0.35,0.032
US PPI Final De Beta2,0.461,0.576,0.549,0.254,0.375,0.328,0.293,0.195,0.028,0.176,0.193,0.073
,1.629,2.452,2.718,1.552,1.928,2.043,2.161,1.678,0.192,1.498,1.908,0.838
University of M Beta2,0.324,0.426,0.485,0.568,0.079,0.477,0.288,0.255,0.084,0.248,0.243,0.182
,1.09,1.725,2.281,3.305,0.384,2.819,2.013,2.084,0.555,2.004,2.283,1.973
Adjusted Retail Beta3,2.378,1.721,1.551,1.205,1.742,1.541,1.049,0.976,1.178,0.857,0.653,0.471
,1.999,1.741,1.824,1.752,2.13,2.28,1.837,1.996,1.944,1.731,1.535,1.277
Conference Boar Beta3,0.068,0.056,0.04,0.059,0.099,0.053,0.064,0.063,0.072,0.07,0.067,0.052
,1.114,1.108,0.916,1.657,2.345,1.531,2.163,2.513,2.309,2.755,3.052,2.746
Federal Funds T Beta3,0.588,3.852,5.972,6.082,5.057,10.604,11.944,8.077,6.958,8.933,6.882,7.15
,0.031,0.241,0.435,0.548,0.383,0.971,1.295,1.023,0.711,1.117,1.002,1.201
GDP US Chained Beta3,0.3,0.408,-0.245,-0.12,-0.12,-0.383,0.092,-0.002,-0.255,-0.22,-0.103,-0.251
,0.326,0.534,-0.372,-0.225,-0.189,-0.731,0.209,-0.006,-0.544,-0.575,-0.314,-0.879
ISM Manufacturi Beta3,0.095,0.218,0.115,0.213,0.177,0.196,0.192,0.175,0.156,0.15,0.108,0.134
,0.602,1.673,1.023,2.342,1.638,2.2,2.549,2.711,1.945,2.304,1.929,2.755
Philadelphia Fe Beta3,-0.035,-0.041,-0.036,-0.017,-0.034,-0.025,-0.015,-0.019,-0.026,-0.032,-0.024,-0.017
,-1.036,-1.455,-1.481,-0.885,-1.488,-1.305,-0.956,-1.382,-1.542,-2.298,-1.976,-1.659
US CPI Urban Co Beta3,-1.357,-1.609,-1.22,-0.867,-1.498,-1.317,-0.916,-0.72,-0.862,-0.845,-0.66,-0.506
,-1.15,-1.641,-1.447,-1.271,-1.846,-1.963,-1.617,-1.485,-1.435,-1.72,-1.565,-1.383
US Durable Good Beta3,0.107,0.027,-0.017,0.012,-0.024,0.02,0.007,0.028,0.025,0.04,0.035,0.042
,0.912,0.279,-0.2,0.18,-0.298,0.303,0.131,0.58,0.424,0.826,0.837,1.155
US Employees on Beta3,0.003,0.004,0.008,0.007,0.001,0.003,0.004,0.003,-0.001,-0,0.001,0.002
,0.658,1.323,2.822,3.186,0.391,1.416,2.28,1.912,-0.519,-0.164,0.937,1.4
US Initial Jobl Beta3,0.011,0.009,-0.003,-0.003,0.006,0.005,-0.002,-0.001,0.003,0.004,0.002,0
,1.346,1.334,-0.519,-0.724,1.071,1.093,-0.429,-0.229,0.825,1.169,0.725,0.2
US PPI Final De Beta3,0,0,0,0,0,0,0,0,0,0,0,0
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
University of M Beta3,0.327,-0.01,-0.077,-0.203,0.249,0.003,-0.034,-0.098,0.087,-0.021,-0.036,-0.048
,1.463,-0.056,-0.485,-1.575,1.623,0.021,-0.314,-1.072,0.768,-0.224,-0.452,-0.7
R^2,0.032,0.043,0.049,0.052,0.039,0.048,0.056,0.052,0.034,0.041,0.049,0.044
RMSE,2.238,1.859,1.599,1.294,1.539,1.272,1.074,0.919,1.14,0.931,0.8,0.694
nObs,2441,2441,2441,2441,2441,2441,2441,2441,2441,2441,2441,2441
