Var,USSV0C2Curncy,USSV0F2Curncy,USSV012Curncy,USSV022Curncy,USSV0C5Curncy,USSV0F5Curncy,USSV015Curncy,USSV025Curncy,USSV0C10Curncy,USSV0F10Curncy,USSV0110Curncy,USSV0210Curncy
Change in Nonfarm Payrolls Beta1,-0.152,-0.326,-0.462,-0.384,-0.211,-0.151,-0.259,-0.201,-0.033,-0.032,-0.128,-0.104
,0.412,0.049,0.001,0.001,0.106,0.156,0.006,0.013,0.727,0.671,0.061,0.08
ISM Manufacturing Beta1,-0.028,-0.241,-0.192,-0.342,-0.334,-0.367,-0.281,-0.236,-0.216,-0.213,-0.147,-0.142
,0.91,0.265,0.299,0.022,0.051,0.009,0.021,0.026,0.079,0.034,0.1,0.068
PPI Ex Food and Energy MoM Beta1,-19.624,-16.97,-11.577,-7.053,-13.347,-7.003,-7.266,-8.305,-10.675,-6.936,-7.56,-5.907
,0.147,0.16,0.261,0.395,0.161,0.369,0.286,0.16,0.12,0.214,0.129,0.172
Retail Sales Advance MoM Beta1,3.977,0.296,-5.408,-9.087,-2.279,-9.85,-3.996,-4.967,1.451,-2.728,-1.274,1.292
,0.765,0.98,0.594,0.265,0.808,0.199,0.551,0.393,0.83,0.62,0.795,0.761
Change in Nonfarm Payrolls Beta1 Beta2,-0.019,-0.008,-0.004,-0.001,-0.012,-0.007,-0.005,-0.002,-0.01,-0.005,-0.004,-0.002
,0.002,0.153,0.402,0.758,0.004,0.049,0.101,0.538,0.001,0.067,0.048,0.243
ISM Manufacturing Beta1 Beta2,0.157,0.12,0.198,0.152,0.29,0.213,0.16,0.089,0.182,0.177,0.093,0.059
,0.42,0.491,0.183,0.204,0.035,0.058,0.103,0.295,0.066,0.028,0.194,0.346
PPI Ex Food and Energy MoM Beta1 Beta2,0.348,2.035,3.953,2.624,2.69,3.22,2.426,1.756,0.861,1.844,1.435,0.919
,0.88,0.321,0.024,0.063,0.097,0.015,0.036,0.08,0.46,0.052,0.09,0.212
Retail Sales Advance MoM Beta1 Beta2,0.799,0.969,0.974,0.83,0.82,0.667,0.727,0.593,0.6,0.66,0.514,0.463
,0.242,0.112,0.061,0.047,0.088,0.09,0.035,0.047,0.083,0.019,0.041,0.034
Change in Nonfarm Payrolls Beta1 Beta3,-0.003,0.004,0.007,0.007,0.003,0,0.003,0.003,-0.002,-0.001,0.001,0.001
,0.687,0.51,0.127,0.082,0.529,0.934,0.282,0.346,0.624,0.607,0.614,0.605
ISM Manufacturing Beta1 Beta3,-0.143,0.064,0.095,0.25,0.254,0.293,0.216,0.18,0.177,0.169,0.078,0.099
,0.625,0.805,0.67,0.165,0.219,0.083,0.143,0.16,0.235,0.164,0.471,0.291
PPI Ex Food and Energy MoM Beta1 Beta3,150.18,151.625,55.252,33.945,106.28,17.196,35.653,35.412,101.18,55.649,58.292,39.115
,0.367,0.308,0.663,0.739,0.365,0.858,0.67,0.626,0.231,0.418,0.341,0.462
Retail Sales Advance MoM Beta1 Beta3,-43.72,-63.328,-41.15,-28.279,-40.976,-25.686,-33.08,-24.294,-37.254,-34.84,-24.779,-32.313
,0.367,0.144,0.265,0.341,0.231,0.358,0.176,0.251,0.13,0.082,0.165,0.037
R^2,0.049,0.056,0.077,0.082,0.067,0.084,0.089,0.078,0.055,0.066,0.073,0.06
RMSE,2.23,1.99,1.697,1.366,1.571,1.284,1.122,0.973,1.13,0.921,0.821,0.713
nObs,889,889,889,889,889,889,889,889,889,889,889,889
