Var,SVENY01,SVENY05,SVENY10
CPI Ex Food and Energy MoM,0.461,0.649,0.41
,0.003,0.006,0.075
Change in Nonfarm Payrolls,0.007,0.013,0.012
,0,0,0
Conf. Board Consumer Confidence,-0,-0,-0.001
,0.844,0.89,0.543
Durable Goods Orders,0.329,0.132,0.136
,0.065,0.621,0.606
FOMC Rate Decision (Upper Bound),0,0,0
,NaN,NaN,NaN
GDP Annualized QoQ A,-0.186,-0.414,-0.494
,0.698,0.566,0.487
ISM Manufacturing,0.004,0.008,0.008
,0.105,0.026,0.019
ISM Non-Manufacturing,0.007,0.007,0.005
,0,0.024,0.103
Initial Jobless Claims,0,0,0
,0.008,0.013,0.081
PPI Ex Food and Energy MoM,0.018,-0.008,0.022
,0.911,0.973,0.928
Philadelphia Fed Business Outlook,0.002,0.004,0.004
,0.082,0.016,0.02
Retail Sales Advance MoM,0.244,0.639,0.688
,0.249,0.045,0.028
U. of Mich. Sentiment P,0.003,0.003,0.003
,0.111,0.182,0.173
R^2,0.067,0.07,0.056
RMSE,0.037,0.056,0.055
nObs,819,819,819
