Var,SVENY01,SVENY05,SVENY10
CPI Ex Food and Energy MoM,0.784,1.003,0.811
,0.005,0.002,0.005
Change in Nonfarm Payrolls,0.009,0.012,0.01
,0,0,0
Conf. Board Consumer Confidence,0.006,0.007,0.006
,0.004,0.003,0.014
Durable Goods Orders,0.459,0.208,0.233
,0.047,0.434,0.327
FOMC Rate Decision (Upper Bound),4.55,2.095,-0.615
,0.012,0.315,0.742
GDP Annualized QoQ A,0.65,0.521,0.511
,0.225,0.397,0.354
ISM Manufacturing,0.008,0.011,0.01
,0.026,0.008,0.006
ISM Non-Manufacturing,0.01,0.009,0.007
,0,0.002,0.01
Initial Jobless Claims,0,0,0
,0.059,0.021,0.069
PPI Ex Food and Energy MoM,0.395,0.554,0.519
,0.041,0.013,0.009
Philadelphia Fed Business Outlook,0.004,0.006,0.005
,0.009,0,0.001
Retail Sales Advance MoM,0.798,0.823,0.565
,0.007,0.015,0.063
U. of Mich. Sentiment P,0.002,0.004,0.004
,0.423,0.143,0.071
R^2,0.097,0.101,0.084
RMSE,0.053,0.061,0.055
nObs,862,862,862
