Var,SVENY01,SVENY05,SVENY10
CPI Ex Food and Energy MoM,0.31,0.422,0.206
,0.024,0.086,0.422
Change in Nonfarm Payrolls,0.011,0.021,0.018
,0,0,0
Conf. Board Consumer Confidence,0,0.001,0.002
,0.621,0.423,0.299
Durable Goods Orders,0.154,0.405,0.41
,0.288,0.119,0.132
FOMC Rate Decision (Upper Bound),1.718,4.512,5.874
,0.126,0.025,0.005
GDP Annualized QoQ A,0.968,1.549,1.441
,0.002,0.005,0.013
ISM Manufacturing,0.006,0.01,0.01
,0,0,0.001
ISM Non-Manufacturing,0.007,0.009,0.008
,0,0.011,0.028
Initial Jobless Claims,-0.002,-0.004,-0.004
,0.007,0,0
PPI Ex Food and Energy MoM,0.029,0.153,0.226
,0.734,0.319,0.158
Philadelphia Fed Business Outlook,0.001,0.002,0.002
,0.522,0.093,0.125
Retail Sales Advance MoM,0.435,1.066,1.145
,0.003,0,0
U. of Mich. Sentiment P,0.001,0.004,0.003
,0.137,0.031,0.057
R^2,0.098,0.109,0.088
RMSE,0.034,0.06,0.063
nObs,1610,1610,1610
