date,DateTime,Event,Period,SurvM,Actual,Prior,Revised,BB_relevance_index,Ticker,SurvA,SurvH,SurvL,Freq,Ests,Time,StdDev,Surprise,DateTime1,DateTime2,DateTime3,Amendment
31-Oct-96,10/31/1996,Personal Income,Sep,0.006,0.006,0.006,,85.8268,PITLCHNG Index,0.006,,,M,0.0,8:30,,,10/31/1996,8:30,,
31-Oct-96,10/31/1996,US Personal Outlays SA,Sep,0.003,0.001,0.006,,0.0,PIDSSO Index,0.003,,,M,0.0,8:30,,,10/31/1996,8:30,,
1-Nov-96,11/1/1996,ISM Manufacturing,Oct,50.9,50.2,51.7,,95.2756,NAPMPMI Index,50.9,,,M,0.0,10:00,,,11/1/1996,10:00,,
1-Nov-96,11/1/1996,Factory Orders,Sep,0.027,0.027,-0.019,,85.0394,TMNOCHNG Index,0.027,,,M,0.0,10:00,,,11/1/1996,10:00,,
4-Nov-96,11/4/1996,Construction Spending,Sep,-0.10,-1.1,0.9,,0.0,VNCCTOT Index,-0.10,,,M,0.0,10:00,,,11/4/1996,10:00,,
7-Nov-96,11/7/1996,Consumer Credit,Sep,4.90,-2.600,3.300,,39.3701,CICRTOT Index,4.90,,,M,0.0,3:00,,,11/7/1996,15:00,,
8-Nov-96,11/8/1996,Wholesale Inventories MoM,Sep,,-0.013,0.005,,81.1024,MWINCHNG Index,,,,M,0.0,10:00,,,11/8/1996,10:00,,
14-Nov-96,11/14/1996,Advance Retail Sales,Oct,0.004,0.002,0.007,,0.0,RTSDCHNG Index,0.004,,,M,0.0,8:30,,,11/14/1996,8:30,,
15-Nov-96,11/15/1996,Industrial Production MoM,Oct,-0.001,-0.005,0.002,,89.7638,IP CHNG Index,-0.001,,,M,0.0,9:15,,,11/15/1996,9:15,,
15-Nov-96,11/15/1996,Housing Starts,Sep,0.001,0.001,0.005,,0.0,MTIB Index,0.001,,,M,0.0,10:00,,,11/15/1996,10:00,,
21-Nov-96,11/21/1996,Philadelphia Fed Business Outlook,Nov,,6.4,5.3,,78.7402,OUTFGAF Index,,,,M,0.0,10:00,,,11/21/1996,10:00,,
22-Nov-96,11/22/1996,Monthly Budget Statement,Oct,-33.40,40.3,35.4,,75.5906,FDDSSD Index,-33.40,,,M,0.0,2:00,,,11/22/1996,14:00,,
25-Nov-96,11/25/1996,One-Family Home Resales,Oct,-0.30,-1.50,-2.90,,0.0,EHSLSL Index,-0.30,,,M,0.0,10:00,,,11/25/1996,10:00,,
27-Nov-96,11/27/1996,GDP Annualized QoQ P,3Q P,,,,,96.8504,GDP CQOQ Index,,,,Q,0.0,8:30,,,11/27/1996,8:30,, P
27-Nov-96,11/27/1996,MNI Chicago PMI,Nov,55.2,57.6,56.9,,81.8898,CHPMINDX Index,55.2,,,M,0.0,10:00,,,11/27/1996,10:00,,
29-Nov-96,11/29/1996,US Personal Outlays SA,Oct,0.004,0.005,0.001,,0.0,PIDSSO Index,0.004,,,M,0.0,8:30,,,11/29/1996,8:30,,
29-Nov-96,11/29/1996,Personal Income,Oct,0,0,0.006,0.006,85.8268,PITLCHNG Index,0,,,M,0.0,8:30,,,11/29/1996,8:30,,
2-Dec-96,12/2/1996,Construction Spending,Oct,-0.80,1.8,1.9,,0.0,VNCCTOT Index,-0.80,,,M,0.0,10:00,,,12/2/1996,10:00,,
2-Dec-96,12/2/1996,ISM Manufacturing,Nov,50.9,52.7,50.2,50.5,95.2756,NAPMPMI Index,50.9,,,M,0.0,10:00,,,12/2/1996,10:00,,
3-Dec-96,12/3/1996,Leading Indicators,Oct,0,0.005,0.001,,0.0,LEI TOTL Index,0,,,M,0.0,8:30,,,12/3/1996,8:30,,
4-Dec-96,12/4/1996,Housing Completions,Oct,,-1,-6,,0.0,PHUCCHNG Index,,,,M,0.0,10:00,,,12/4/1996,10:00,,
5-Dec-96,12/5/1996,Productivity & Cost R,3Q R,,-0.003,0.002,,0.0,PRODNFN% Index,,,,Q,0.0,10:00,,,12/5/1996,10:00,, R
6-Dec-96,12/6/1996,Factory Orders,Oct,-0.001,0.009,0.027,0.03,85.0394,TMNOCHNG Index,-0.001,,,M,0.0,10:00,,,12/6/1996,10:00,,
6-Dec-96,12/6/1996,Consumer Credit,Oct,4.50,2.200,-2.600,4.769,39.3701,CICRTOT Index,4.50,,,M,0.0,3:00,,,12/6/1996,15:00,,
10-Dec-96,12/10/1996,Wholesale Inventories MoM,Oct,,0.006,-0.013,-0.007,81.1024,MWINCHNG Index,,,,M,0.0,10:00,,,12/10/1996,10:00,,
11-Dec-96,12/11/1996,PPI Ex Food and Energy MoM,Nov,0.002,0.001,-0.003,,0.0,PXFECHNG Index,0.002,,,M,0.0,8:30,,,12/11/1996,8:30,,
12-Dec-96,12/12/1996,CPI MoM,Nov,0.003,0.003,0.003,,96.06299999999999,CPI CHNG Index,0.003,,,M,0.0,8:30,,,12/12/1996,8:30,,
12-Dec-96,12/12/1996,Advance Retail Sales,Nov,0.003,-0.004,0.002,0.008,0.0,RTSDCHNG Index,0.003,,,M,0.0,8:30,,,12/12/1996,8:30,,
16-Dec-96,12/16/1996,Industrial Production MoM,Nov,0.005,0.009,-0.005,0.019,89.7638,IP CHNG Index,0.005,,,M,0.0,9:15,,,12/16/1996,9:15,,
